date,ozempic,semaglutida,canetas emagrecedoras,dieta para emagrecer
2019-01-01,0,0,0,16
2019-02-01,0,0,0,11
2019-03-01,0,0,0,12
2019-04-01,0,0,0,11
2019-05-01,2,1,0,10
2019-06-01,2,0,0,11
2019-07-01,3,0,0,12
2019-08-01,3,0,0,13
2019-09-01,4,0,0,13
2019-10-01,4,0,0,13
2019-11-01,5,0,0,11
2019-12-01,4,0,0,9
2020-01-01,8,2,0,16
2020-02-01,5,0,0,11
2020-03-01,4,0,0,9
2020-04-01,3,0,0,9
2020-05-01,3,0,0,12
2020-06-01,4,0,0,13
2020-07-01,6,0,0,13
2020-08-01,6,0,0,12
2020-09-01,8,1,0,16
2020-10-01,8,1,0,13
2020-11-01,9,0,0,11
2020-12-01,8,1,0,9
2021-01-01,10,1,0,14
2021-02-01,12,5,0,12
2021-03-01,11,1,0,9
2021-04-01,10,1,0,9
2021-05-01,13,1,0,9
2021-06-01,14,2,0,10
2021-07-01,17,1,0,10
2021-08-01,19,1,0,11
2021-09-01,22,1,0,12
2021-10-01,24,1,0,10
2021-11-01,24,2,0,10
2021-12-01,24,2,0,7
2022-01-01,28,3,0,12
2022-02-01,25,2,0,10
2022-03-01,28,2,0,9
2022-04-01,32,4,0,9
2022-05-01,28,2,0,9
2022-06-01,30,2,0,8
2022-07-01,36,3,0,10
2022-08-01,42,3,0,10
2022-09-01,44,3,0,10
2022-10-01,44,3,0,9
2022-11-01,49,4,0,10
2022-12-01,44,3,0,7
2023-01-01,74,28,0,13
2023-02-01,56,10,0,10
2023-03-01,60,6,0,9
2023-04-01,57,5,0,8
2023-05-01,61,5,0,8
2023-06-01,58,4,0,9
2023-07-01,50,4,0,10
2023-08-01,48,6,0,10
2023-09-01,50,4,0,9
2023-10-01,55,4,0,9
2023-11-01,48,4,0,8
2023-12-01,52,4,0,7
2024-01-01,52,4,0,10
2024-02-01,60,9,0,6
2024-03-01,82,5,0,6
2024-04-01,93,5,0,6
2024-05-01,73,5,0,5
2024-06-01,75,5,0,6
2024-07-01,81,6,0,6
2024-08-01,79,6,0,6
2024-09-01,83,8,0,7
2024-10-01,100,9,0,7
2024-11-01,87,10,0,6
2024-12-01,74,10,0,5
2025-01-01,80,11,0,9
2025-02-01,72,11,0,6
2025-03-01,73,10,0,5
2025-04-01,69,9,0,5
2025-05-01,62,10,0,4
2025-06-01,66,10,1,4
2025-07-01,53,9,1,4
2025-08-01,61,11,3,5
2025-09-01,55,10,2,5
2025-10-01,56,10,2,5
2025-11-01,54,11,2,5
2025-12-01,46,11,2,4
